DATE,DYCO
2005-01-04,-0.00989976
2005-01-05,-0.01274039
2005-01-06,-0.00809705
2005-01-07,0.00718622
2005-01-10,-0.00382784
2005-01-11,-0.0023641
2005-01-12,-0.00203723
2005-01-13,0.01473351
2005-01-14,0.001036
2005-01-17,0.00141078
2005-01-18,-0.01600021
2005-01-19,-0.00414551
2005-01-20,-0.01418466
2005-01-21,0.00482227
2005-01-24,0.00639929
2005-01-25,-3.402e-05
2005-01-26,0.00686645
2005-01-27,-0.01854391
2005-01-28,-0.00037837
2005-01-31,0.01414205
2005-02-01,-0.00692345
2005-02-02,0.0023608
2005-02-03,0.0024212
2005-02-04,0.01748162
2005-02-09,0.01546225
2005-02-10,-0.0016939
2005-02-11,0.00910985
2005-02-14,0.00165589
2005-02-15,0.00133192
2005-02-16,-0.00183839
2005-02-17,0.00552522
2005-02-18,0.00325265
2005-02-21,0.00373492
2005-02-22,0.00429716
2005-02-23,0.00202065
2005-02-24,0.02089277
2005-02-25,0.00451871
2005-02-28,-0.0119057
2005-03-01,-0.0076269
2005-03-02,0.00240371
2005-03-03,0.01700776
2005-03-04,0.01056446
2005-03-07,0.01342125
2005-03-08,-0.00184661
2005-03-09,0.0053543
2005-03-10,-0.01725759
2005-03-11,0.00178016
2005-03-14,-0.01000017
2005-03-15,-0.00323314
2005-03-16,-0.00718941
2005-03-17,-0.00058241
2005-03-18,-0.00271896
2005-03-21,-0.0108256
2005-03-22,-0.00825819
2005-03-23,-0.02331029
2005-03-24,0.00726507
2005-03-28,-0.00966772
2005-03-29,-0.01659033
2005-03-30,-0.0039231
2005-03-31,0.01279096
2005-04-01,0.00084846
2005-04-04,-0.01503515
2005-04-05,-0.00205515
2005-04-06,-0.013366
2005-04-07,-0.00347182
2005-04-08,0.00202854
2005-04-11,-0.00801308
2005-04-12,-0.00754372
2005-04-13,0.00015154
2005-04-14,-0.02619059
2005-04-15,-0.01854274
2005-04-18,-0.00109337
2005-04-19,0.020333
2005-04-20,-0.00284269
2005-04-22,-0.00384079
2005-04-25,0.00203209
2005-04-26,0.00889974
2005-04-27,-0.00548794
2005-04-28,-0.01554594
2005-04-29,0.00015615
2005-05-02,-0.00238796
2005-05-03,0.00638421
2005-05-04,0.01807723
2005-05-05,0.002064
2005-05-06,0.00059216
2005-05-09,0.00427051
2005-05-10,-0.01335679
2005-05-11,-0.01632881
2005-05-12,-0.01409384
2005-05-13,-0.01453044
2005-05-16,0.00568604
2005-05-17,0.00559027
2005-05-18,0.01939179
2005-05-19,-0.00603716
2005-05-20,-0.00448659
2005-05-23,-0.00558962
2005-05-24,-0.00248555
2005-05-25,0.0056138
2005-05-27,0.01309926
2005-05-30,0.00759309
2005-05-31,-0.00194558
2005-06-01,0.01301658
2005-06-02,0.01922991
2005-06-03,0.00281104
2005-06-06,-0.02232546
2005-06-07,-0.00301974
2005-06-08,-0.00585713
2005-06-09,-0.01935549
2005-06-10,0.00654266
2005-06-13,0.01307974
2005-06-14,-0.00073025
2005-06-15,0.00410329
2005-06-16,0.02587806
2005-06-17,0.00450874
2005-06-20,-0.00640951
2005-06-21,-0.01010497
2005-06-22,-0.00826103
2005-06-23,-0.00464505
2005-06-24,-0.01398737
2005-06-27,0.00260411
2005-06-28,0.0099222
2005-06-29,0.00120618
2005-06-30,-0.00016748
2005-07-01,0.00558589
2005-07-04,-0.00546867
2005-07-05,-0.00413336
2005-07-06,-0.00843257
2005-07-07,0.00212159
2005-07-08,-0.00040893
2005-07-11,0.01331089
2005-07-12,0.01511888
2005-07-13,0.01376538
2005-07-14,0.0046316
2005-07-15,-0.01282621
2005-07-18,-0.00062064
2005-07-19,3.224e-05
2005-07-20,0.01153869
2005-07-21,0.01181775
2005-07-22,-0.0044972
2005-07-25,-0.02492967
2005-07-26,0.00079998
2005-07-27,0.01486496
2005-07-28,0.0243218
2005-07-29,0.00455805
2005-08-01,-0.00320454
2005-08-02,0.01573237
2005-08-03,0.01368971
2005-08-04,-0.00750699
2005-08-05,0.00189831
2005-08-08,0.00694896
2005-08-09,0.0014176
2005-08-10,0.00499851
2005-08-11,-0.00692551
2005-08-12,-0.02115347
2005-08-15,0.02189233
2005-08-16,0.00389147
2005-08-17,0.00079027
2005-08-18,-0.0045744
2005-08-19,-0.01423126
2005-08-22,0.01826145
2005-08-23,-0.00785582
2005-08-24,-0.00182025
2005-08-25,0.00794264
2005-08-26,0.00206679
2005-08-29,0.00089328
2005-08-30,0.00359431
2005-08-31,0.00960341
2005-09-01,0.0083946
2005-09-02,0.00876588
2005-09-05,0.01093222
2005-09-06,0.00603577
2005-09-08,0.01079412
2005-09-09,0.00849271
2005-09-12,0.00260304
2005-09-13,-0.00579249
2005-09-14,0.00078121
2005-09-15,0.01091341
2005-09-16,0.01156978
2005-09-19,0.00097499
2005-09-20,0.00807372
2005-09-21,0.01447629
2005-09-22,0.00328165
2005-09-23,0.00609535
2005-09-26,-0.00180462
2005-09-27,-0.00733222
2005-09-28,0.0115591
2005-09-29,-0.00170146
2005-09-30,0.00937235
2005-10-03,0.01119097
2005-10-04,0.00259886
2005-10-05,-0.0272386
2005-10-06,-0.03205246
2005-10-07,0.00958315
2005-10-10,0.01459155
2005-10-11,0.00861138
2005-10-13,-0.02894814
2005-10-14,-0.00436661
2005-10-17,0.00963632
2005-10-18,-0.00461074
2005-10-19,-0.02305102
2005-10-20,-0.00761944
2005-10-21,0.00200619
2005-10-24,0.01913807
2005-10-25,0.00904198
2005-10-26,0.00165605
2005-10-27,-0.009349
2005-10-28,0.00340004
2005-10-31,0.01997838
2005-11-01,0.01670814
2005-11-03,0.0138144
2005-11-04,-0.01144402
2005-11-07,0.00915709
2005-11-08,0.00146179
2005-11-09,-0.00161595
2005-11-10,-0.00462396
2005-11-11,0.00343166
2005-11-14,-0.01184032
2005-11-16,0.00802931
2005-11-17,0.01644659
2005-11-18,0.00185899
2005-11-21,0.00132693
2005-11-22,-0.00333652
2005-11-23,0.01581411
2005-11-24,0.00323748
2005-11-25,0.00283485
2005-11-28,0.0027147
2005-11-29,-0.00693308
2005-11-30,-0.00095697
2005-12-01,0.01801422
2005-12-02,0.00802102
2005-12-05,-0.00367375
